symbol,location,latitude,longitude,in_both
EMN,"Kingsport, Tennessee",36.548434,-82.5618186,TRUE
ETN,"Dublin, Ireland",53.3498053,-6.2603097,TRUE
EBAY,"San Jose, California",37.3382082,-121.8863286,TRUE
ECL,"St. Paul, Minnesota",44.9537029,-93.0899578,TRUE
EIX,"Rosemead, California",34.0805651,-118.072846,TRUE
EW,"Irvine, California",33.6845673,-117.8265049,TRUE
EA,"Redwood City, California",37.4852152,-122.2363548,TRUE
EMR,"Ferguson, Missouri",38.7442175,-90.3053915,TRUE
ETR,"New Orleans, Louisiana",29.9510658,-90.0715323,TRUE
EOG,"Houston, Texas",29.7604267,-95.3698028,TRUE
EFX,"Atlanta, Georgia",33.7489954,-84.3879824,TRUE
EQIX,"Redwood City, California",37.4852152,-122.2363548,TRUE
EQR,"Chicago, Illinois",41.8781136,-87.6297982,TRUE
ESS,"Palo Alto, California",37.4418834,-122.1430195,TRUE
EL,"New York, New York",36.1023715,-115.1745559,TRUE
EVRG,"Kansas City, Missouri",39.0997265,-94.5785667,FALSE
ES,"Springfield, Massachusetts",42.1014831,-72.589811,TRUE
RE,"Hamilton, Bermuda",32.2945837,-64.7858887,TRUE
EXC,"Chicago, Illinois",41.8781136,-87.6297982,TRUE
EXPE,"Bellevue, Washington",47.6101497,-122.2015159,TRUE
EXPD,"Seattle, Washington",47.6062095,-122.3320708,TRUE
EXR,"Salt Lake City, Utah",40.7607793,-111.8910474,TRUE
XOM,"Irving, Texas",32.8140177,-96.9488945,TRUE
FFIV,"Seattle, Washington",47.6062095,-122.3320708,TRUE
FB,"Menlo Park, California",37.4529598,-122.1817252,TRUE
FAST,"Winona, Minnesota",44.0553908,-91.6663523,TRUE
FRT,"Rockville, Maryland",39.0839973,-77.1527578,TRUE
FDX,"Memphis, Tennessee",35.1495343,-90.0489801,TRUE
FIS,"Jacksonville, Florida",30.3321838,-81.655651,TRUE
FITB,"Cincinnati, Ohio",39.1031182,-84.5120196,TRUE
FE,"Akron, Ohio",41.0814447,-81.5190053,TRUE
FRC,"San Francisco, California",37.7749295,-122.4194155,FALSE
FISV,"Brookfield, Wisconsin",43.0605671,-88.1064787,TRUE
FLT,"Norcross, Georgia",33.9412127,-84.2135309,FALSE
FLIR,"Wilsonville, Oregon",45.3029903,-122.7726501,TRUE
FLS,"Irving, Texas",32.8140177,-96.9488945,TRUE
FLR,"Irving, Texas",32.8140177,-96.9488945,TRUE
FMC,"Philadelphia, Pennsylvania",39.9525839,-75.1652215,TRUE
FL,"New York, New York",36.1023715,-115.1745559,TRUE
F,"Dearborn, Michigan",42.3222599,-83.1763145,TRUE
FTNT,"Sunnyvale, California",37.36883,-122.0363496,FALSE
FTV,"Everett, Washington",47.9789848,-122.2020795,TRUE
FBHS,"Deerfield, Illinois",42.1711365,-87.8445119,TRUE
FOXA,"New York, New York",36.1023715,-115.1745559,TRUE
FOX,"New York, New York",36.1023715,-115.1745559,TRUE
BEN,"San Mateo, California",37.5629917,-122.3255254,TRUE
FCX,"Phoenix, Arizona",33.4483771,-112.0740373,TRUE
GPS,"San Francisco, California",37.7749295,-122.4194155,TRUE
GRMN,"Schaffhausen, Switzerland",47.6958897,8.6380489,TRUE
IT,"Stamford, Connecticut",41.0534302,-73.5387341,TRUE
GD,"Falls Church, Virginia",38.882334,-77.1710914,TRUE
GE,"Boston, Massachusetts",42.3600825,-71.0588801,TRUE
GIS,"Golden Valley, Minnesota",44.9917149,-93.3600034,TRUE
GM,"Detroit, Michigan",42.331427,-83.0457538,TRUE
GPC,"Atlanta, Georgia",33.7489954,-84.3879824,TRUE
GILD,"Foster City, California",37.5585465,-122.2710788,TRUE
GPN,"Atlanta, Georgia",33.7489954,-84.3879824,TRUE
GS,"New York, New York",36.1023715,-115.1745559,TRUE
GWW,"Lake Forest, Illinois",42.2586342,-87.840625,TRUE
HAL,"Houston, Texas",29.7604267,-95.3698028,TRUE
HBI,"Winston-Salem, North Carolina",36.0998596,-80.244216,TRUE
HOG,"Milwaukee, Wisconsin",43.0389025,-87.9064736,TRUE
HRS,"Melbourne, Florida",28.0836269,-80.6081089,TRUE
HIG,"Hartford, Connecticut",41.7658043,-72.6733723,TRUE
HAS,"Pawtucket, Rhode Island",41.878711,-71.3825558,TRUE
HCA,"Nashville, Tennessee",36.1626638,-86.7816016,TRUE
HCP,"Long Beach, California",33.7700504,-118.1937395,TRUE
HP,"Tulsa, Oklahoma[5]",36.1754461,-95.9971109,TRUE
HSIC,"Melville, New York",40.7934322,-73.4151214,TRUE
HSY,"Hershey, Pennsylvania",40.2859239,-76.6502468,TRUE
HES,"New York, New York",36.1023715,-115.1745559,TRUE
HPE,"Palo Alto, California",37.4418834,-122.1430195,TRUE
HLT,"Tysons Corner, Virginia",38.9187222,-77.2310925,TRUE
HFC,"Dallas, Texas",32.7766642,-96.7969879,FALSE
HOLX,"Marlborough, Massachusetts",42.3459271,-71.5522874,TRUE
HD,"Atlanta, Georgia",33.7489954,-84.3879824,TRUE
HON,"Morristown, New Jersey",40.7967667,-74.4815438,TRUE
HRL,"Austin, Minnesota",43.6666296,-92.9746367,TRUE
HST,"Bethesda, Maryland",38.984652,-77.0947092,TRUE
HPQ,"Palo Alto, California",37.4418834,-122.1430195,TRUE
HUM,"Louisville, Kentucky",38.2526647,-85.7584557,TRUE
HBAN,"Columbus, Ohio",39.9611755,-82.9987942,TRUE
HII,"Newport News, Virginia",37.0870821,-76.4730122,TRUE
IDXX,"Westbrook, Maine",43.6770252,-70.3711617,TRUE
INFO,"London, United Kingdom",51.5073509,-0.1277583,TRUE
ITW,"Glenview, Illinois",42.0778065,-87.8223368,TRUE
ILMN,"San Diego, California",32.715738,-117.1610838,TRUE
IR,"Dublin, Ireland",53.3498053,-6.2603097,TRUE
INTC,"Santa Clara, California",37.3541079,-121.9552356,TRUE
ICE,"Atlanta, Georgia",33.7489954,-84.3879824,TRUE
IBM,"Armonk, New York",41.1264849,-73.7140195,TRUE
INCY,"Wilmington, Delaware",39.744655,-75.5483909,TRUE
IP,"Memphis, Tennessee",35.1495343,-90.0489801,TRUE
IPG,"New York, New York",36.1023715,-115.1745559,TRUE
IFF,"New York, New York",36.1023715,-115.1745559,TRUE
INTU,"Mountain View, California",37.3860517,-122.0838511,TRUE
ISRG,"Sunnyvale, California",37.36883,-122.0363496,TRUE
IVZ,"Atlanta, Georgia",33.7489954,-84.3879824,TRUE
IPGP,"Oxford, Massachusetts",42.1167606,-71.8647577,TRUE
IQV,"Durham, North Carolina",35.9940329,-78.898619,TRUE
IRM,"Boston, Massachusetts",42.3600825,-71.0588801,TRUE
JKHY,"Monett, Missouri",36.9289502,-93.9277071,FALSE
JEC,"Pasadena, California",34.1477849,-118.1445155,TRUE
JBHT,"Lowell, Arkansas",36.2553543,-94.1307587,TRUE
